Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
268715360,2022-03-23T23:00:00Z,1899-12-31T14:39:35Z,FO,174,stress,1,1,AMV,C22,331,854,0,0.612,0.0
268723660,2022-03-23T23:00:00Z,1899-12-31T14:39:43Z,FO,175,stress,1,1,AMV,C22,659,1210,0,0.455,0.0
268728800,2022-03-23T23:00:00Z,1899-12-31T14:39:48Z,FO,176,stress,1,1,,,415,415,0,0.000,0.0
268736920,2022-03-23T23:00:00Z,1899-12-31T14:39:56Z,FO,177,stress,1,1,AMV,C24,462,935,0,0.506,0.0
268742800,2022-03-23T23:00:00Z,1899-12-31T14:40:02Z,FO,178,stress,1,1,AMV,C24,534,1006,0,0.469,0.0
268748420,2022-03-23T23:00:00Z,1899-12-31T14:40:08Z,FO,179,stress,1,1,AMV,C24,317,1007,0,0.685,0.0
268758640,2022-03-23T23:00:00Z,1899-12-31T14:40:18Z,FO,180,stress,1,1,AMV,C24,410,1202,0,0.659,0.0
268763660,2022-03-23T23:00:00Z,1899-12-31T14:40:23Z,FO,181,stress,1,1,,,309,309,0,0.000,0.0
268772340,2022-03-23T23:00:00Z,1899-12-31T14:40:32Z,FO,182,stress,1,1,AMV,C25,283,606,0,0.533,0.0
268778600,2022-03-23T23:00:00Z,1899-12-31T14:40:38Z,FO,183,stress,1,1,AMV,C25,527,1298,0,0.594,0.0
268782080,2022-03-23T23:00:00Z,1899-12-31T14:40:42Z,FO,184,stress,1,1,AMV,C25,526,1450,0,0.637,0.0
268789600,2022-03-23T23:00:00Z,1899-12-31T14:40:49Z,FO,185,stress,1,1,AMV,C25,166,426,0,0.610,0.0
268794420,2022-03-23T23:00:00Z,1899-12-31T14:40:54Z,FO,186,stress,1,1,,,126,126,0,0.000,0.0
268820080,2022-03-23T23:00:00Z,1899-12-31T14:41:20Z,FO,187,stress,1,1,AMV,C26,418,695,0,0.399,0.0
268827060,2022-03-23T23:00:00Z,1899-12-31T14:41:27Z,FO,188,stress,1,1,AMV,C26,480,882,0,0.456,0.0
268833070,2022-03-23T23:00:00Z,1899-12-31T14:41:33Z,FO,189,stress,1,1,AMV,C26,288,537,0,0.464,0.0
268842260,2022-03-23T23:00:00Z,1899-12-31T14:41:42Z,FO,190,stress,1,1,AMV,C26,262,576,0,0.545,0.0
268846840,2022-03-23T23:00:00Z,1899-12-31T14:41:46Z,FO,191,stress,1,1,,,129,129,0,0.000,0.0
268855180,2022-03-23T23:00:00Z,1899-12-31T14:41:55Z,FO,192,stress,1,1,AMV,C27,469,879,0,0.466,0.0
268862120,2022-03-23T23:00:00Z,1899-12-31T14:42:02Z,FO,193,stress,1,1,AMV,C27,494,897,0,0.449,0.0
268869740,2022-03-23T23:00:00Z,1899-12-31T14:42:09Z,FO,194,stress,1,1,AMV,C27,222,500,0,0.556,0.0
268876120,2022-03-23T23:00:00Z,1899-12-31T14:42:16Z,FO,195,stress,1,1,AMV,C27,145,510,0,0.716,0.0
268880720,2022-03-23T23:00:00Z,1899-12-31T14:42:20Z,FO,196,stress,1,1,,,138,138,0,0.000,0.0
268888540,2022-03-23T23:00:00Z,1899-12-31T14:42:28Z,FO,197,stress,1,1,AMV,C28,513,1199,0,0.572,0.0
268894700,2022-03-23T23:00:00Z,1899-12-31T14:42:34Z,FO,198,stress,1,1,AMV,C28,299,639,0,0.532,0.0
268901180,2022-03-23T23:00:00Z,1899-12-31T14:42:41Z,FO,199,stress,1,1,AMV,C28,282,544,0,0.482,0.0
268907900,2022-03-23T23:00:00Z,1899-12-31T14:42:47Z,FO,200,stress,1,1,AMV,C28,211,574,0,0.632,0.0
268912820,2022-03-23T23:00:00Z,1899-12-31T14:42:52Z,FO,201,stress,1,1,,,211,211,0,0.000,0.0
268921440,2022-03-23T23:00:00Z,1899-12-31T14:43:01Z,FO,202,stress,1,1,AMV,C29,226,566,0,0.601,0.0
268928220,2022-03-23T23:00:00Z,1899-12-31T14:43:08Z,FO,203,stress,1,1,AMV,C29,351,798,0,0.560,0.0
268934760,2022-03-23T23:00:00Z,1899-12-31T14:43:14Z,FO,204,stress,1,1,AMV,C29,377,903,0,0.583,0.0
268942500,2022-03-23T23:00:00Z,1899-12-31T14:43:22Z,FO,205,stress,1,1,AMV,C29,217,731,0,0.703,0.0
268946060,2022-03-23T23:00:00Z,1899-12-31T14:43:26Z,FO,206,stress,1,1,,,143,143,0,0.000,0.0
268958380,2022-03-23T23:00:00Z,1899-12-31T14:43:38Z,FO,207,stress,1,1,AMV,C30,256,527,0,0.514,0.0
268966360,2022-03-23T23:00:00Z,1899-12-31T14:43:46Z,FO,208,stress,1,1,AMV,C30,462,765,0,0.396,0.0
268975300,2022-03-23T23:00:00Z,1899-12-31T14:43:55Z,FO,209,stress,1,1,AMV,C30,486,1245,0,0.610,0.0
268983580,2022-03-23T23:00:00Z,1899-12-31T14:44:03Z,FO,210,stress,1,1,AMV,C30,274,690,0,0.603,0.0
268990100,2022-03-23T23:00:00Z,1899-12-31T14:44:10Z,FO,211,stress,1,1,,,88,88,0,0.000,0.0
268996000,2022-03-23T23:00:00Z,1899-12-31T14:44:16Z,FO,212,stress,1,1,AMV,C31,301,694,0,0.566,0.0
269004700,2022-03-23T23:00:00Z,1899-12-31T14:44:24Z,FO,213,stress,1,1,AMV,C31,451,1044,0,0.568,0.0
269010760,2022-03-23T23:00:00Z,1899-12-31T14:44:30Z,FO,214,stress,1,1,AMV,C31,477,1144,0,0.583,0.0
269017820,2022-03-23T23:00:00Z,1899-12-31T14:44:37Z,FO,215,stress,1,1,AMV,C31,231,625,0,0.630,0.0
269022460,2022-03-23T23:00:00Z,1899-12-31T14:44:42Z,FO,216,stress,1,1,,,174,174,0,0.000,0.0
269032200,2022-03-23T23:00:00Z,1899-12-31T14:44:52Z,FO,217,stress,1,1,AMV,C32,282,669,0,0.578,0.0
269039780,2022-03-23T23:00:00Z,1899-12-31T14:44:59Z,FO,218,stress,1,1,AMV,C32,408,926,0,0.559,0.0
269046580,2022-03-23T23:00:00Z,1899-12-31T14:45:06Z,FO,219,stress,1,1,AMV,C32,403,960,0,0.580,0.0
269052420,2022-03-23T23:00:00Z,1899-12-31T14:45:12Z,FO,220,stress,1,1,AMV,C32,260,668,0,0.611,0.0
269067180,2022-03-23T23:00:00Z,1899-12-31T14:45:27Z,FO,221,stress,1,1,AMV,C32,444,1022,0,0.566,0.0
269075360,2022-03-23T23:00:00Z,1899-12-31T14:45:35Z,FO,222,stress,1,1,AMV,C32,402,959,0,0.581,0.0
269080060,2022-03-23T23:00:00Z,1899-12-31T14:45:40Z,FO,223,stress,1,1,AMV,C32,286,854,0,0.665,0.0
269089600,2022-03-23T23:00:00Z,1899-12-31T14:45:49Z,FO,224,stress,1,1,AMV,C32,329,793,0,0.585,0.0
